"Country","Payloads_Active","Payloads_Total","Payloads_Decayed","Payloads_OnOrbit","Debris_Total","Debris_Decayed","Debris_OnOrbit","All_OnOrbit","All_Decayed","All_Total"
"AB",1,15,1,14,0,0,0,14,1,15
"ABS",0,8,0,8,0,0,0,8,0,8
"AC",0,8,0,8,0,0,0,8,0,8
"ALG",0,6,0,6,0,0,0,6,0,6
"ANG",0,1,0,1,0,0,0,1,0,1
"ARGN",0,21,2,19,0,0,0,19,2,21
"ASRA",0,3,0,3,0,0,0,3,0,3
"AUS",0,24,5,19,2,0,2,21,5,26
"AZER",0,3,0,3,0,0,0,3,0,3
"BEL",0,4,0,4,0,0,0,4,0,4
"BELA",0,2,0,2,0,0,0,2,0,2
"BGD",0,2,1,1,0,0,0,1,1,2
"BHUT",0,1,1,0,0,0,0,0,1,1
"BOL",0,1,0,1,0,0,0,1,0,1
"BRAZ",0,21,3,18,0,0,0,18,3,21
"BUL",0,2,1,1,0,0,0,1,1,2
"CA",0,351,302,49,0,0,0,49,302,351
"CHBZ",0,4,0,4,0,0,0,4,0,4
"CHLE",0,3,0,3,0,0,0,3,0,3
"CIS",139,3864,2250,1614,4571,3433,1138,2752,5683,8435
"COL",0,2,0,2,0,0,0,2,0,2
"CRI",0,1,1,0,0,0,0,0,1,1
"CZCH",0,8,2,6,0,0,0,6,2,8
"DEN",0,12,3,9,0,0,0,9,3,12
"ECU",0,2,0,2,0,0,0,2,0,2
"EGYP",1,6,0,6,0,0,0,6,0,6
"ESA",105,299,107,192,17,6,11,203,113,316
"ESAME",0,9,0,9,0,0,0,9,0,9
"ESATE",0,53,0,53,0,0,0,53,0,53
"ESRO",0,7,7,0,0,0,0,0,7,7
"EST",0,1,0,1,0,0,0,1,0,1
"FGER",0,2,0,2,0,0,0,2,0,2
"FIN",0,6,1,5,0,0,0,5,1,6
"FR",0,69,10,59,242,85,157,216,95,311
"FRIT",0,2,0,2,0,0,0,2,0,2
"GER",63,247,127,120,4,1,3,123,128,251
"GHA",0,1,1,0,0,0,0,0,1,1
"GLOB",0,81,0,81,0,0,0,81,0,81
"GREC",0,5,2,3,0,0,0,3,2,5
"GRSA",1,1,0,1,0,0,0,1,0,1
"GUAT",0,0,0,0,0,0,0,0,0,0
"HUN",0,1,1,0,0,0,0,0,1,1
"IM",0,16,0,16,0,0,0,16,0,16
"IND",393,820,339,481,62,27,35,516,366,882
"INDO",1,19,2,17,0,0,0,17,2,19
"IRAN",0,5,4,1,4,4,0,1,8,9
"IRAQ",0,1,0,1,0,0,0,1,0,1
"ISRA",0,23,6,17,8,8,0,17,14,31
"ISS",0,6,1,5,0,0,0,5,1,6
"IT",1,41,13,28,2,1,1,29,14,43
"ITSO",0,91,1,90,0,0,0,90,1,91
"JOR",0,1,0,1,0,0,0,1,0,1
"JPN",105,494,224,270,124,70,54,324,294,618
"KAZ",0,9,0,9,0,0,0,9,0,9
"KEN",0,1,1,0,0,0,0,0,1,1
"KWT",0,0,0,0,0,0,0,0,0,0
"LAOS",0,1,0,1,0,0,0,1,0,1
"LKA",0,0,0,0,0,0,0,0,0,0
"LTU",2,5,2,3,0,0,0,3,2,5
"LUXE",0,2,1,1,0,0,0,1,1,2
"MA",0,2,0,2,0,0,0,2,0,2
"MALA",0,9,1,8,0,0,0,8,1,9
"MDA",0,0,0,0,0,0,0,0,0,0
"MEX",0,9,0,9,0,0,0,9,0,9
"MMR",0,0,0,0,0,0,0,0,0,0
"MNG",0,1,1,0,0,0,0,0,1,1
"MUS",0,0,0,0,0,0,0,0,0,0
"NATO",0,8,0,8,0,0,0,8,0,8
"NETH",0,9,1,8,0,0,0,8,1,9
"NICO",0,1,0,1,0,0,0,1,0,1
"NIG",0,6,1,5,0,0,0,5,1,6
"NKOR",0,2,0,2,2,0,2,4,0,4
"NOR",0,11,0,11,0,0,0,11,0,11
"NPL",0,0,0,0,0,0,0,0,0,0
"NZ",0,1,1,0,0,0,0,0,1,1
"O3B",4,20,0,20,0,0,0,20,0,20
"ORB",0,52,1,51,0,0,0,51,1,52
"PAKI",0,7,1,6,0,0,0,6,1,7
"PERU",0,4,2,2,0,0,0,2,2,4
"POL",0,4,2,2,0,0,0,2,2,4
"POR",0,1,0,1,0,0,0,1,0,1
"PRC",682,2025,1014,1011,318,181,137,1148,1195,2343
"PRY",0,0,0,0,0,0,0,0,0,0
"QATR",0,1,0,1,0,0,0,1,0,1
"RASC",0,2,0,2,0,0,0,2,0,2
"ROC",0,10,0,10,0,0,0,10,0,10
"ROM",0,1,1,0,0,0,0,0,1,1
"RP",0,4,2,2,0,0,0,2,2,4
"RWA",0,0,0,0,0,0,0,0,0,0
"SAFR",0,7,4,3,0,0,0,3,4,7
"SAUD",0,14,0,14,0,0,0,14,0,14
"SDN",0,0,0,0,0,0,0,0,0,0
"SEAL",0,1,0,1,33,3,30,31,3,34
"SES",0,62,1,61,0,0,0,61,1,62
"SGJP",1,2,1,1,0,0,0,1,1,2
"SING",0,10,0,10,0,0,0,10,0,10
"SK",84,189,105,84,0,0,0,84,105,189
"SKOR",0,27,5,22,1,1,0,22,6,28
"SPN",1,29,3,26,0,0,0,26,3,29
"STCT",0,2,0,2,0,0,0,2,0,2
"SVN",0,0,0,0,0,0,0,0,0,0
"SWED",0,12,1,11,0,0,0,11,1,12
"SWTZ",1,4,0,4,0,0,0,4,0,4
"TBD",326,917,551,366,9,1,8,374,552,926
"THAI",0,9,0,9,0,0,0,9,0,9
"TMMC",0,1,0,1,0,0,0,1,0,1
"TUN",0,0,0,0,0,0,0,0,0,0
"TURK",0,15,3,12,0,0,0,12,3,15
"UAE",0,11,0,11,0,0,0,11,0,11
"UK",80,883,756,127,1,0,1,128,756,884
"UKR",0,6,3,3,2,0,2,5,3,8
"URY",0,1,0,1,0,0,0,1,0,1
"US",966,12401,9915,2486,1656,825,831,3317,10740,14057
"USBZ",0,1,0,1,0,0,0,1,0,1
"VENZ",0,3,0,3,0,0,0,3,0,3
"VTNM",1,6,2,4,0,0,0,4,2,6
